,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
19,Indonesia,"6,046,467",+395,"156,240",+23,"5,882,062",+572,"8,165","2,771","21,687",560,"95,495,775","342,525","278,799,748"
20,Poland,"5,995,672",+855,"116,042",+20,"5,334,619",+61,"545,011","1,321","158,737","3,072","36,092,285","955,555","37,770,999"
21,Australia,"5,889,048","+41,696","7,189",+26,"5,553,745","+44,688","328,114",137,"226,158",276,"69,260,340","2,659,810","26,039,586"
22,Mexico,"5,737,811","+1,232","324,254",+33,"5,037,473",+781,"376,084","4,798","43,665","2,468","15,794,055","120,195","131,403,824"
23,Ukraine,"5,001,719",+680,"108,391",+11,N/A,N/A,N/A,177,"115,635","2,506","19,521,252","451,311","43,254,550"
24,Malaysia,"4,445,897","+2,579","35,542",+6,"4,360,061","+6,055","50,294",78,"134,226","1,073","58,674,831","1,771,454","33,122,422"
25,Thailand,"4,238,061","+14,053","28,403",+129,"4,053,751","+16,782","155,907","1,496","60,441",405,"17,270,775","246,305","70,119,486"
26,Austria,"4,135,344","+6,186","18,138",+21,"4,034,609","+7,765","82,597",99,"454,426","1,993","182,842,386","20,092,252","9,100,144"
27,Israel,"4,074,119","+2,628","10,695",,"4,038,393","+4,921","25,031",220,"436,856","1,147","41,373,364","4,436,346","9,326,000"
28,Belgium,"4,056,448",,"31,439",,"3,788,380","+19,596","236,629",150,"347,250","2,691","33,531,891","2,870,479","11,681,636"
29,Czechia,"3,903,665","+1,556","40,147",+10,"3,845,021","+1,091","18,497",33,"363,293","3,736","55,186,195","5,135,882","10,745,223"
30,Portugal,"3,853,800","+12,588","22,280",+11,N/A,N/A,N/A,61,"379,966","2,197","41,218,424","4,063,940","10,142,478"
31,South Africa,"3,785,398","+4,954","100,360",+5,"3,646,241","+5,670","38,797",192,"62,390","1,654","24,454,151","403,050","60,672,691"
32,Canada,"3,746,284","+5,165","39,230",+53,"3,451,808","+3,478","255,246",468,"97,697","1,023","60,871,310","1,587,430","38,345,820"
33,Philippines,"3,685,403",+184,"60,305",+38,"3,616,709","+1,339","8,389",289,"32,835",537,"29,541,239","263,194","112,241,473"
34,Switzerland,"3,602,489",,"13,859",+2,"3,459,053","+32,263","129,577",87,"410,770","1,580","20,767,523","2,367,996","8,770,082"
35,Peru,"3,564,558",+629,"212,810",+12,N/A,N/A,N/A,302,"105,430","6,294","29,813,461","881,804","33,809,637"
36,Chile,"3,556,333","+2,377","57,509",+14,"3,406,930","+5,899","91,894",231,"183,169","2,962","36,955,800","1,903,413","19,415,542"
37,Greece,"3,317,425","+7,463","29,114",+41,"3,209,096","+13,593","79,215",244,"321,139","2,818","79,660,677","7,711,441","10,330,193"
38,Denmark,"2,965,204",+867,"6,149",+14,"2,940,457","+1,349","18,598",13,"508,663","1,055","127,207,133","21,821,606","5,829,412"
39,Romania,"2,892,989","+1,016","65,478",+7,"2,606,660",,"220,851",200,"152,233","3,446","22,684,309","1,193,683","19,003,633"
40,Sweden,"2,500,917",,"18,739",,"2,468,078",,"14,100",21,"244,848","1,835","18,513,445","1,812,530","10,214,145"
41,Iraq,"2,324,982",+135,"25,211",+2,"2,297,546",+243,"2,225",21,"55,531",602,"18,474,304","441,247","41,868,370"
42,Serbia,"2,005,832",+760,"15,984",+4,"1,972,747",,"17,101",26,"231,268","1,843","9,481,282","1,093,173","8,673,178"
43,Bangladesh,"1,952,674",+30,"29,127",,"1,895,146",+326,"28,401","1,297","11,645",174,"13,987,528","83,417","167,682,449"
44,Hungary,"1,901,017","+1,384","46,201",+12,"1,804,295","+2,482","50,521",41,"197,701","4,805","11,339,446","1,179,275","9,615,608"
45,Slovakia,"1,780,022",+926,"19,891",+12,"1,742,391","+2,471","17,740",70,"325,745","3,640","7,084,258","1,296,423","5,464,466"
46,Jordan,"1,694,216",,"14,048",,"1,678,941",,"1,227",124,"163,095","1,352","16,670,254","1,604,775","10,387,908"
47,Georgia,"1,654,945",+148,"16,807",+2,"1,636,800",+280,"1,338",,"416,317","4,228","16,885,842","4,247,797","3,975,200"
48,Pakistan,"1,528,347",+75,"30,371",,"1,494,141",,"3,835",138,"6,682",133,"28,137,765","123,026","228,714,454"
49,Ireland,"1,517,112",+959,"7,087",+11,"1,447,106","+5,348","62,919",39,"301,110","1,407","12,063,637","2,394,339","5,038,400"
50,Norway,"1,425,809",+345,"2,932",,N/A,N/A,N/A,20,"259,305",533,"11,002,430","2,000,961","5,498,572"
51,Kazakhstan,"1,305,521",+17,"13,660",,"1,291,055",+11,806,24,"68,044",712,"11,575,012","603,293","19,186,398"
52,Hong Kong,"1,203,847",+366,"9,298",+11,N/A,N/A,N/A,115,"158,236","1,222","44,972,952","5,911,321","7,607,936"
53,Singapore,"1,195,767","+2,517","1,334",,"1,130,012","+5,769","64,421",6,"201,502",225,"23,712,995","3,995,937","5,934,277"
54,Morocco,"1,164,907",+42,"16,069",,"1,148,436",+30,402,293,"30,892",426,"11,237,010","297,996","37,708,607"
55,Bulgaria,"1,156,466",+491,"36,911",+10,"978,104","+3,919","141,451",82,"168,752","5,386","9,843,550","1,436,375","6,853,049"
